Text,Image,Folio
urn:cts:greekLit:tlg5026.msAil.hmt:23.211,"urn:cite:hmt:vaimg.VA293RN-0463@0.542,0.5533,0.062,0.0255",urn:cite:hmt:msA.293r
urn:cts:greekLit:tlg5026.msAil.hmt:23.212,"urn:cite:hmt:vaimg.VA293RN-0463@0.339,0.5683,0.08,0.0098",urn:cite:hmt:msA.293r
urn:cts:greekLit:tlg5026.msAil.hmt:23.213,"urn:cite:hmt:vaimg.VA293RN-0463@0.439,0.5721,0.11,0.0105",urn:cite:hmt:msA.293r
urn:cts:greekLit:tlg5026.msAil.hmt:23.310,"urn:cite:hmt:vaimg.VA293VN-0795@0.829,0.4002,0.037,0.012",urn:cite:hmt:msA.293r
urn:cts:greekLit:tlg5026.msAil.hmt:23.1904,"urn:cite:hmt:vaimg.VA301VN-0803@0.697,0.4591,0.076,0.0135",urn:cite:hmt:msA.301v
urn:cts:greekLit:tlg5026.msAil.hmt:23.1905,"urn:cite:hmt:vaimg.VA301VN-0803@0.708,0.6311,0.054,0.0143",urn:cite:hmt:msA.301v
urn:cts:greekLit:tlg5026.msAil.hmt:23.2017,"urn:cite:hmt:vaimg.VA302RN-0472@0.267,0.4087,0.104,0.0188",urn:cite:hmt:msA.302r
urn:cts:greekLit:tlg5026.msAil.hmt:23.2018,"urn:cite:hmt:vaimg.VA302RN-0472@0.374,0.5237,0.148,0.0188",urn:cite:hmt:msA.302r
urn:cts:greekLit:tlg5026.msAil.hmt:23.2111,"urn:cite:hmt:vaimg.VA302VN-0804@0.679,0.5702,0.067,0.0225",urn:cite:hmt:msA.302v
urn:cts:greekLit.tlg5026.msAil.hmt:23.2309,"urn:cite:hmt:vaimg.VA303VN-0805@0.507,0.299,0.054,0.0225",urn:cite:hmt:msA.303v
urn:cts:greekLit.tlg5026.msAil.hmt:23.2609,"urn:cite:hmt:vaimg.VA305RN-0475@0.24,0.6176,0.041,0.0143",urn:cite:hmt:msA.305r
urn:cts:greekLit:tlg5026.msAil.hmt:23.811,"urn:cite:hmt:vaimg.VA296RN-0466@0.332,0.2667,0.126,0.0135",urn:cite:hmt:msA.296r
urn:cts:greekLit:tlg5026.msAil.hmt:23.908,"urn:cite:hmt:vaimg.VA296VN-0798@0.681,0.2209,0.228,0.0195",urn:cite:hmt:msA.296v
urn:cts:greekLit:tlg5026.msAil.hmt:23.909,"urn:cite:hmt:vaimg.VA296VN-0798@0.492,0.314,0.058,0.0113",urn:cite:hmt:msA.296v
urn:cts:greekLit:tlg5026.msAil.hmt:23.910,"urn:cite:hmt:vaimg.VA296VN-0798@0.717,0.3171,0.047,0.0113",urn:cite:hmt:msA.296v
urn:cts:greekLit:tlg5026.msAil.hmt:23.911,"urn:cite:hmt:vaimg.VA296VN-0798@0.569,0.45,0.075,0.0128",urn:cite:hmt:msA.296v
urn:cts:greekLit:tlg5026.msAil.hmt:23.912,"urn:cite:hmt:vaimg.VA296VN-0798@0.527,0.5793,0.078,0.0128",urn:cite:hmt:msA.296v
urn:cts:greekLit:tlg5026.msAil.hmt:23.1009,"urn:cite:hmt:vaimg.VA297RN-0467@0.332,0.2712,0.048,0.0143",urn:cite:hmt:msA.297r
urn:cts:greekLit:tlg5026.msAil.hmt:23.1010,"urn:cite:hmt:vaimg.VA297RN-0467@0.315,0.5597,0.038,0.0128",urn:cite:hmt:msA.297r
urn:cts:greekLit:tlg5026.msAil.hmt:23.1011,"urn:cite:hmt:vaimg.VA297RN-0467@0.482,0.559,0.048,0.012",urn:cite:hmt:msA.297r
urn:cts:greekLit:tlg5026.msAil.hmt:23.1012,"urn:cite:hmt:vaimg.VA297RN-0467@0.562,0.559,0.066,0.0143",urn:cite:hmt:msA.297r
