Text,Image,Folio
urn:cts:greekLit:tlg5026.msAim.hmt:23.1607,"urn:cite:hmt:vaimg.VA300RN-0470@0.5626,0.3103,0.1111,0.0173",urn:cite:hmt:msA.300r
urn:cts:greekLit:tlg5026.msAim.hmt:23.1608,"urn:cite:hmt:vaimg.VA300RN-0470@0.5395,0.4568,0.1201,0.0218",urn:cite:hmt:msA.300r
urn:cts:greekLit:tlg5026.msAim.hmt:23.1609,"urn:cite:hmt:vaimg.VA300RN-0470@0.5976,0.2374,0.0971,0.0225",urn:cite:hmt:msA.300r
urn:cts:greekLit:tlg5026.msAim.hmt:23.2011,"urn:cite:hmt:vaimg.VA302RN-0472@0.606,0.3208,0.093,0.0353",urn:cite:hmt:msA.302r
urn:cts:greekLit:tlg5026.msAim.hmt:23.2012,"urn:cite:hmt:vaimg.VA302RN-0472@0.606,0.3989,0.087,0.0308",urn:cite:hmt:msA.302r
urn:cts:greekLit:tlg5026.msAim.hmt:23.2013,"urn:cite:hmt:vaimg.VA302RN-0472@0.584,0.5507,0.048,0.0391",urn:cite:hmt:msA.302r
urn:cts:greekLit:tlg5026.msAim.hmt:23.2104,"urn:cite:hmt:vaimg.VA302VN-0804@0.418,0.2487,0.068,0.0541",urn:cite:hmt:msA.302v
urn:cts:greekLit:tlg5026.msAim.hmt:23.2105,"urn:cite:hmt:vaimg.VA302VN-0804@0.417,0.296,0.068,0.0308",urn:cite:msA.302v
urn:cts:greekLit:tlg5026.msAim.hmt:23.2106,"urn:cite:hmt:vaimg.VA302VN-0804@0.416,0.3163,0.068,0.0496",urn:cite:msA.302v
urn:cts:greekLit:tlg5026.msAim.hmt:23.2107,"urn:cite:hmt:vaimg.VA302VN-0804@0.417,0.3974,0.068,0.0368",urn:cite:msA.302v
urn:cts:greekLit.tlg5026.msAim.hmt:23.2108,"urn:cite:hmt:vaimg.VA302VN-0804@0.415,0.5943,0.071,0.027",urn:cite:msA.302v
urn:cts:greekLit.tlg5026.msAim.hmt:23.2109,"urn:cite:hmt:vaimg.VA302VN-0804@0.411,0.6506,0.077,0.0496",urn:cite:msA.302v
urn:cts:greekLit.tlg5026.msAim.hmt:23.2110,"urn:cite:hmt:vaimg.VA302VN-0804@0.4,0.6927,0.086,0.0285",urn:cite:msA.302v
urn:cts:greekLit.tlg5026.msAim.hmt:23.2206,"urn:cite:hmt:vaimg.VA303RN-0473@0.611,0.2945,0.116,0.0383",urn:cite:msA.303r
urn:cts:greekLit.tlg5026.msAim.hmt:23.2207,"urn:cite:hmt:vaimg.VA303RN-0473@0.62,0.4237,0.069,0.018",urn:cite:msA.303r
urn:cts:greekLit.tlg5026.msAim.hmt:23.2208,"urn:cite:hmt:vaimg.VA303RN-0473@0.583,0.4763,0.071,0.027",urn:cite:msA.303r
urn:cts:greekLit.tlg5026.msAim.hmt:23.2304,"urn:cite:hmt:vaimg.VA303VN-0805@0.425,0.3696,0.076,0.0263",urn:cite:msA.303v
urn:cts:greekLit.tlg5026.msAim.hmt:23.2305,"urn:cite:hmt:vaimg.VA303VN-0805@0.426,0.3944,0.076,0.0316",urn:cite:msA.303v
urn:cts:greekLit.tlg5026.msAim.hmt:23.2306,"urn:cite:hmt:vaimg.VA303VN-0805@0.403,0.4485,0.094,0.0278",urn:cite:msA.303v
urn:cts:greekLit.tlg5026.msAim.hmt:23.2307,"urn:cite:hmt:vaimg.VA303VN-0805@0.399,0.4711,0.094,0.0195",urn:cite:msA.303v
urn:cts:greekLit.tlg5026.msAim.hmt:23.2308,"urn:cite:hmt:vaimg.VA303VN-0805@0.419,0.5402,0.083,0.0376",urn:cite:msA.303v
urn:cts:greekLit.tlg5026.msAim.hmt:23.2408,"urn:cite:hmt:vaimg.VA304RN-0474@0.601,0.3929,0.097,0.0451",urn:cite:msA.304r
urn:cts:greekLit.tlg5026.msAim.hmt:23.2409,"urn:cite:hmt:vaimg.VA304RN-0474@0.618,0.4748,0.08,0.0225",urn:cite:msA.304r
urn:cts:greekLit.tlg5026.msAim.hmt:23.2505,"urn:cite:hmt:vaimg.VA304VN-0806@0.424,0.3035,0.052,0.0421",urn:cite:msA.304v
urn:cts:greekLit.tlg5026.msAim.hmt:23.2506,"urn:cite:hmt:vaimg.VA304VN-0806@0.422,0.5379,0.058,0.0496",urn:cite:msA.304v
urn:cts:greekLit.tlg5026.msAim.hmt:23.2507,"urn:cite:hmt:vaimg.VA304VN-0806@0.415,0.6499,0.061,0.0308",urn:cite:msA.304v
urn:cts:greekLit.tlg5026.msAim.hmt:23.2606,"urn:cite:hmt:vaimg.VA305RN-0475@0.592,0.4651,0.053,0.0458",urn:cite:msA.305r
urn:cts:greekLit.tlg5026.msAim.hmt:23.2607,"urn:cite:hmt:vaimg.VA305RN-0475@0.558,0.7303,0.058,0.0301",urn:cite:msA.305r
urn:cts:greekLit:tlg5026.msAim.hmt:23.905,"urn:cite:hmt:vaimg.VA296VN-0798@0.418,0.3163,0.061,0.0451",urn:cite:msA.296v
urn:cts:greekLit:tlg5026.msAim.hmt:23.902,"urn:cite:hmt:vaimg.VA296VN-0798@0.418,0.4395,0.057,0.018",urn:cite:msA.296v
urn:cts:greekLit:tlg5026.msAim.hmt:23.903,"urn:cite:hmt:vaimg.VA296VN-0798@0.419,0.4538,0.064,0.0285",urn:cite:msA.296v
urn:cts:greekLit:tlg5026.msAim.hmt:23.904,"urn:cite:hmt:vaimg.VA296VN-0798@0.423,0.4771,0.056,0.0413",urn:cite:msA.296v
urn:cts:greekLit:tlg5026.msAim.hmt:23.906,"urn:cite:hmt:vaimg.VA296VN-0798@0.415,0.5815,0.054,0.0203",urn:cite:msA.296v
urn:cts:greekLit:tlg5026.msAim.hmt:23.907,"urn:cite:hmt:vaimg.VA296VN-0798@0.414,0.6063,0.06,0.0361",urn:cite:msA.296v
urn:cts:greekLit:tlg5026.msAim.hmt:23.1006,"urn:cite:hmt:vaimg.VA297RN-0467@0.642,0.2622,0.037,0.0143",urn:cite:msA.297r
urn:cts:greekLit:tlg5026.msAim.hmt:23.1007,"urn:cite:hmt:vaimg.VA297RN-0467@0.64,0.3178,0.069,0.0173",urn:cite:msA.297r
urn:cts:greekLit:tlg5026.msAim.hmt:23.1008,"urn:cite:hmt:vaimg.VA297RN-0467@0.637,0.3464,0.063,0.0203",urn:cite:msA.297r
