Text,Image
urn:cts:greekLit:tlg0012.tlg001.msA:23.1,"urn:cite:hmt:vaimg.VA292VN-0794@0.416,0.5004,0.486,0.0654"
urn:cts:greekLit:tlg0012.tlg001.msA:23.2,"urn:cite:hmt:vaimg.VA292VN-0794@0.492,0.5334,0.351,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:23.3,"urn:cite:hmt:vaimg.VA292VN-0794@0.489,0.5522,0.358,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:23.4,"urn:cite:hmt:vaimg.VA292VN-0794@0.487,0.5718,0.423,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:23.5,"urn:cite:hmt:vaimg.VA292VN-0794@0.479,0.5898,0.391,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:23.6,"urn:cite:hmt:vaimg.VA292VN-0794@0.478,0.6101,0.41,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:23.7,"urn:cite:hmt:vaimg.VA292VN-0794@0.479,0.6289,0.415,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:23.8,"urn:cite:hmt:vaimg.VA292VN-0794@0.478,0.6476,0.405,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:23.9,"urn:cite:hmt:vaimg.VA292VN-0794@0.473,0.6672,0.428,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:23.10,"urn:cite:hmt:vaimg.VA292VN-0794@0.476,0.686,0.374,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:23.11,"urn:cite:hmt:vaimg.VA292VN-0794@0.478,0.7047,0.431,0.0331"
urn:cts:greekLit:tlg0012.tlg001.msA:23.12,"urn:cite:hmt:vaimg.VA293RN-0463@0.19,0.2201,0.443,0.0331"
urn:cts:greekLit:tlg0012.tlg001.msA:23.13,"urn:cite:hmt:vaimg.VA293RN-0463@0.187,0.2434,0.436,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:23.14,"urn:cite:hmt:vaimg.VA293RN-0463@0.19,0.2645,0.429,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:23.15,"urn:cite:hmt:vaimg.VA293RN-0463@0.187,0.2832,0.397,0.0346"
urn:cts:greekLit:tlg0012.tlg001.msA:23.16,"urn:cite:hmt:vaimg.VA293RN-0463@0.187,0.302,0.397,0.0368"
urn:cts:greekLit:tlg0012.tlg001.msA:23.17,"urn:cite:hmt:vaimg.VA293RN-0463@0.181,0.3201,0.38,0.0353"
urn:cts:greekLit:tlg0012.tlg001.msA:23.18,"urn:cite:hmt:vaimg.VA293RN-0463@0.181,0.3388,0.438,0.0391"
urn:cts:greekLit:tlg0012.tlg001.msA:23.19,"urn:cite:hmt:vaimg.VA293RN-0463@0.18,0.3599,0.423,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:23.20,"urn:cite:hmt:vaimg.VA293RN-0463@0.177,0.3956,0.442,0.0398"
